volume,page,anchor text,link
1,8,Justice Manual ,https://www.justice.gov/jm/jm-9-27000-principles-federal-prosecution
1,8,§,https://www.justice.gov/jm/jm-9-27000-principles-federal-prosecution
1,8, 9-27.000,https://www.justice.gov/jm/jm-9-27000-principles-federal-prosecution
1,9,Justice Manual ,https://www.justice.gov/jm/jm-9-27000-principles-federal-prosecution#9-27.220
1,9,§ ,https://www.justice.gov/jm/jm-9-27000-principles-federal-prosecution#9-27.220
1,9,9-27.220,https://www.justice.gov/jm/jm-9-27000-principles-federal-prosecution#9-27.220
1,9,"United States v. Internet Research Agency, et al.",https://www.justice.gov/file/1035477/download
1,9,"United States v. Netyksho, et al.",https://www.justice.gov/file/1035477/download
1,10,"Justice Manual §§ 9-13.400, 13.410",https://www.justice.gov/jm/jm-9-13000-obtaining-evidence#9-13.410
1,11,Appointment of Special Counsel to Investigate Russian Interference with the 2016 Presidential Election and Related Matters,https://www.justice.gov/opa/press-release/file/967231/download
1,11,Appointment Order ¶(b),https://www.justice.gov/opa/press-release/file/967231/download
1,11,Appointment Order,https://www.justice.gov/opa/press-release/file/967231/download
1,11, ,https://www.justice.gov/opa/press-release/file/967231/download
1,11,¶(b)(ii),https://www.justice.gov/opa/press-release/file/967231/download
1,11,Id,https://www.justice.gov/opa/press-release/file/967231/download
1,11,. ¶(c),https://www.justice.gov/opa/press-release/file/967231/download
1,11,Id.,https://www.justice.gov/opa/press-release/file/967231/download
1,11, ¶(d),https://www.justice.gov/opa/press-release/file/967231/download
1,13,18 U.S.C. § 2703(d),https://www.govinfo.gov/content/pkg/USCODE-2011-title18/html/USCODE-2011-title18-partI-chap121-sec2703.htm
1,58,the Washington Post published an ,https://www.washingtonpost.com/politics/trump-recorded-having-extremely-lewd-conversation-about-women-in-2005/2016/10/07/3b9ce776-8cb4-11e6-bf8a-3d26847eeed4_story.html
1,58,Access Hollywood,https://www.washingtonpost.com/politics/trump-recorded-having-extremely-lewd-conversation-about-women-in-2005/2016/10/07/3b9ce776-8cb4-11e6-bf8a-3d26847eeed4_story.html
1,58, video,https://www.washingtonpost.com/politics/trump-recorded-having-extremely-lewd-conversation-about-women-in-2005/2016/10/07/3b9ce776-8cb4-11e6-bf8a-3d26847eeed4_story.html
1,168,Executive Order 13757,https://www.govinfo.gov/content/pkg/CFR-2017-title3-vol1/pdf/CFR-2017-title3-vol1-eo13757.pdf
1,174,Justice Manual § 9-27.220,https://www.justice.gov/jm/jm-9-27000-principles-federal-prosecution#9-27.220
1,174,Internet Research Agency,https://www.justice.gov/file/1035477/download
1,174, Indictment,https://www.justice.gov/file/1035477/download
1,175,18 U.S.C. § 1028,https://www.govinfo.gov/content/pkg/USCODE-2010-title18/html/USCODE-2010-title18-partI-chap47-sec1028.htm
1,175,"Plea Agreement, ",https://www.justice.gov/file/1035542/download
1,175,United States v. Richard Pinedo,https://www.justice.gov/file/1035542/download
1,175,United States v. Richard Pinedo,https://www.justice.gov/file/1035542/download
1,175,18 U.S.C. §§ 1030,https://www.govinfo.gov/content/pkg/USCODE-2010-title18/html/USCODE-2010-title18-partI-chap47-sec1030.htm
1,175,371,https://www.justice.gov/jm/criminal-resource-manual-923-18-usc-371-conspiracy-defraud-us
1,175,18 U.S.C. §§ 1028A,https://www.justice.gov/jm/criminal-resource-manual-1512-prohibited-acts-18-usc-1028
1,175,1956,https://www.justice.gov/jm/criminal-resource-manual-2101-money-laundering-overview
1,175,18 U.S.C. §§ 1030,https://www.govinfo.gov/content/pkg/USCODE-2010-title18/html/USCODE-2010-title18-partI-chap47-sec1030.htm
1,175,371,https://www.justice.gov/jm/criminal-resource-manual-923-18-usc-371-conspiracy-defraud-us
1,175,Netyksho,https://www.justice.gov/file/1080281/download
1,175, Indictment,https://www.justice.gov/file/1080281/download
1,175,Netyksho,https://www.justice.gov/file/1080281/download
1,175, indictment,https://www.justice.gov/file/1080281/download
1,175,Netyksho,https://www.justice.gov/file/1080281/download
1,175, Indictment,https://www.justice.gov/file/1080281/download
1,176,Netyksho,https://www.justice.gov/file/1080281/download
1,176, Indictment,https://www.justice.gov/file/1080281/download
1,176,Netyksho,https://www.justice.gov/file/1080281/download
1,176, Indictment,https://www.justice.gov/file/1080281/download
1,180,18 U.S.C. § 371,https://www.justice.gov/jm/criminal-resource-manual-923-18-usc-371-conspiracy-defraud-us
1,181,18 U.S.C. §§ 1349,https://www.govinfo.gov/content/pkg/USCODE-2011-title18/html/USCODE-2011-title18-partI-chap63-sec1349.htm
1,181,1951,https://www.justice.gov/jm/jm-9-131000-hobbs-act-18-usc-1951
1,181,18 U.S.C. § 371,https://www.justice.gov/jm/criminal-resource-manual-923-18-usc-371-conspiracy-defraud-us
1,181,18 U.S.C. § 951,https://www.justice.gov/nsd-fara/fara-related-statutes
1,181,18 U.S.C. § 951,https://www.justice.gov/nsd-fara/fara-related-statutes
1,182,18 U.S.C. § 951,https://www.justice.gov/nsd-fara/fara-related-statutes
1,182,22 U.S.C. §§ 611-621,https://www.justice.gov/nsd-fara/fara-index-and-act
1,182,22 U.S.C. § 611,https://www.justice.gov/nsd-fara/fara-index-and-act
1,182,22 U.S.C. § 611,https://www.justice.gov/nsd-fara/fara-index-and-act
1,182,22 U.S.C. § 611,https://www.justice.gov/nsd-fara/fara-index-and-act
1,182,22 U.S.C. § 611,https://www.justice.gov/nsd-fara/fara-index-and-act
1,182,22 U.S.C. § 611,https://www.justice.gov/nsd-fara/fara-index-and-act
1,182,22 U.S.C. § 618,https://www.justice.gov/nsd-fara/fara-index-and-act
1,182,22 U.S.C. § 618,https://www.justice.gov/nsd-fara/fara-index-and-act
1,182,22 U.S.C. § 618,https://www.justice.gov/nsd-fara/fara-index-and-act
1,183,"Statement of Offense, ",https://www.justice.gov/file/1015126/download
1,183,United States v. Michael T. Flynn,https://www.justice.gov/file/1015126/download
1,183,Flynn,https://www.justice.gov/file/1015126/download
1,183, Statement of Offense,https://www.justice.gov/file/1015126/download
