footnote,volume,page,anchor text,link
4,1,14,18 U.S.C. § 371,https://www.justice.gov/jm/criminal-resource-manual-923-18-usc-371-conspiracy-defraud-us
4,1,14,"United States v. Internet Research Agency, et al.",https://www.justice.gov/file/1035477/download
4,1,14,Internet Research Agency ,https://www.justice.gov/file/1035477/download
4,1,14,Indictment,https://www.justice.gov/file/1035477/download
5,1,14,Internet Research Agency,https://www.justice.gov/file/1035477/download
5,1,14, Indictment,https://www.justice.gov/file/1035477/download
6,1,15,"Social Media Influence in the 2016 U.S. Election, Hearing Before the Senate Select Committee on Intelligence",https://www.intelligence.senate.gov/hearings/open-hearing-social-media-influence-2016-us-elections
7,1,15,Update on Twitter’s Review of the 2016 US Election,https://blog.twitter.com/en_us/topics/company/2018/2016-election-update.html
19,1,17,Treasury Sanctions Individuals and Entities in Connection with Russia’s Occupation of Crimea and the Conflict in Ukraine,https://www.treasury.gov/press-center/press-releases/Pages/jl0688.aspx
22,1,17,"Yevgeny Prigozhin, Russian Oligarch Indicted by U.S., Is Known as “Putin’s Cook”",https://www.nytimes.com/2018/02/16/world/europe/prigozhin-russia-indictment-mueller.html
31,1,19,Internet Research Agency,https://www.justice.gov/file/1035477/download
31,1,19, Indictment,https://www.justice.gov/file/1035477/download
56,1,25,"Social Media Influence in the 2016 U.S. Election, Hearing Before the Senate Select Committee on Intelligence",https://www.intelligence.senate.gov/hearings/open-hearing-social-media-influence-2016-us-elections
62,1,26,"Social Media Influence in the 2016 U.S. Election, Hearing Before the Senate Select Committee on Intelligence",https://www.intelligence.senate.gov/hearings/open-hearing-social-media-influence-2016-us-elections
71,1,27,Most Major Outlets Have Used Russian Tweets as Sources for Partisan Opinion: Study,https://www.cjr.org/analysis/tweets-russia-news.php
71,1,27,Twitter Steps Up to Explain #NewYorkValues to Ted Cruz,https://www.washingtonpost.com/news/the-fix/wp/2016/01/15/twitter-steps-up-to-explain-newyorkvalues-to-ted-cruz/
71,1,27,People Are Slamming the CIA for Claiming Russia Tried to Help Donald Trump,https://www.usnews.com/news/articles/2016-12-12/twitter-users-slam-cia-for-saying-russia-tried-to-help-elect-donald-trump
79,1,28,"Twitter to Tell 677,000 Users they Were Had by the Russians. Some Signs Show the Problem Continues",https://www.washingtonpost.com/news/the-switch/wp/2018/01/19/twitter-to-tell-677000-users-they-were-had-by-the-russians-some-signs-show-the-problem-continues/
80,1,29,Update on Twitter’s Review of the 2016 US Election,https://blog.twitter.com/en_us/topics/company/2018/2016-election-update.html
81,1,29,Update on Twitter’s Review of the 2016 US Election,https://blog.twitter.com/en_us/topics/company/2018/2016-election-update.html
109,1,36,18 U.S.C. §§ 1030,https://www.govinfo.gov/content/pkg/USCODE-2010-title18/html/USCODE-2010-title18-partI-chap47-sec1030.htm
109,1,36,371,https://www.justice.gov/jm/criminal-resource-manual-923-18-usc-371-conspiracy-defraud-us
109,1,36,United States v. Netyksho,https://www.justice.gov/file/1080281/download
109,1,36,Netyksho,https://www.justice.gov/file/1080281/download
109,1,36, Indictment,https://www.justice.gov/file/1080281/download
110,1,36,Netyksho,https://www.justice.gov/file/1080281/download
110,1,36, Indictment,https://www.justice.gov/file/1080281/download
111,1,36,United States v. Aleksei Sergeyevich Morenets,https://www.justice.gov/usao-wdpa/vw/us-v-Aleksei-Sergeyevich-Morenets
112,1,36,Netyksho,https://www.justice.gov/file/1080281/download
112,1,36, Indictment,https://www.justice.gov/file/1080281/download
113,1,37,Netyksho,https://www.justice.gov/file/1080281/download
113,1,37, Indictment,https://www.justice.gov/file/1080281/download
114,1,37,Netyksho,https://www.justice.gov/file/1080281/download
114,1,37, Indictment,https://www.justice.gov/file/1080281/download
115,1,37,Netyksho,https://www.justice.gov/file/1080281/download
115,1,37, Indictment,https://www.justice.gov/file/1080281/download
127,1,39,Netyksho,https://www.justice.gov/file/1080281/download
127,1,39, Indictment,https://www.justice.gov/file/1080281/download
128,1,39,Netyksho,https://www.justice.gov/file/1080281/download
128,1,39, Indictment,https://www.justice.gov/file/1080281/download
129,1,39,Netyksho,https://www.justice.gov/file/1080281/download
129,1,39, Indictment,https://www.justice.gov/file/1080281/download
130,1,40,Netyksho,https://www.justice.gov/file/1080281/download
130,1,40, Indictment,https://www.justice.gov/file/1080281/download
135,1,40,Netyksho,https://www.justice.gov/file/1080281/download
135,1,40, Indictment,https://www.justice.gov/file/1080281/download
136,1,41,Netyksho,https://www.justice.gov/file/1080281/download
136,1,41, Indictment,https://www.justice.gov/file/1080281/download
136,1,41,Netyksho,https://www.justice.gov/file/1080281/download
136,1,41, Indictment,https://www.justice.gov/file/1080281/download
137,1,41,Netyksho,https://www.justice.gov/file/1080281/download
137,1,41, Indictment,https://www.justice.gov/file/1080281/download
138,1,41,Netyksho,https://www.justice.gov/file/1080281/download
138,1,41, Indictment,https://www.justice.gov/file/1080281/download
140,1,41,"Internet Archive, “https://dcleaks.com/”",https://web.archive.org/web/20161110005710/https://dcleaks.com/
140,1,41,"RNC E-Mail Was, In Fact, Hacked By Russians",http://www.thesmokinggun.com/documents/investigation/rnc-e-mail-was-hacked-901763
141,1,42,Netyksho,https://www.justice.gov/file/1080281/download
141,1,42, Indictment,https://www.justice.gov/file/1080281/download
145,1,42,Bears in the Midst: Intrusion into the Democratic National Committee,https://www.crowdstrike.com/blog/bears-midst-intrusion-democratic-national-committee/
146,1,42,Netyksho,https://www.justice.gov/file/1080281/download
146,1,42, Indictment,https://www.justice.gov/file/1080281/download
151,1,43,Netyksho,https://www.justice.gov/file/1080281/download
151,1,43, Indictment,https://www.justice.gov/file/1080281/download
